trial_index,audio_filename,condition
1,HDR_long_grammatical/A3A2A1B1B2B3_334.wav,long_grammatical
2,HDR_long_grammatical/A2A1A3B3B1B2_229.wav,long_grammatical
3,HDR_long_replacement/A1A3A2B2B3B1_39.wav,long_replacement
4,HDR_long_grammatical/A3A2A1B1B2B3_363.wav,long_grammatical
5,HDR_long_grammatical/A2A1A3B3B1B2_215.wav,long_grammatical
6,HDR_long_grammatical/A1A3A2B2B3B1_310.wav,long_grammatical
7,HDR_long_grammatical/A1A2A3B3B2B1_18.wav,long_grammatical
8,HDR_long_grammatical/A2A3A1B1B3B2_102.wav,long_grammatical
9,HDR_long_concatenation/A3A2A1B1B2B3_40.wav,long_concatenation
10,HDR_long_grammatical/A2A1A3B3B1B2_207.wav,long_grammatical
11,HDR_long_replacement/A2A1A3B3B1B2_40.wav,long_replacement
12,HDR_long_grammatical/A1A2A3B3B2B1_34.wav,long_grammatical
13,HDR_long_grammatical/A1A2A3B3B2B1_54.wav,long_grammatical
14,HDR_long_grammatical/A3A1A2B2B1B3_140.wav,long_grammatical
15,HDR_long_grammatical/A1A3A2B2B3B1_280.wav,long_grammatical
16,HDR_long_grammatical/A3A1A2B2B1B3_150.wav,long_grammatical
17,HDR_long_grammatical/A1A2A3B3B2B1_63.wav,long_grammatical
18,HDR_long_grammatical/A2A1A3B3B1B2_210.wav,long_grammatical
19,HDR_long_grammatical/A2A3A1B1B3B2_87.wav,long_grammatical
20,HDR_long_grammatical/A1A3A2B2B3B1_298.wav,long_grammatical
21,HDR_long_replacement/A3A1A2B2B1B3_7.wav,long_replacement
22,HDR_long_grammatical/A3A1A2B2B1B3_175.wav,long_grammatical
23,HDR_long_replacement/A2A3A1B1B3B2_1.wav,long_replacement
24,HDR_long_grammatical/A2A3A1B1B3B2_122.wav,long_grammatical
25,HDR_long_grammatical/A2A3A1B1B3B2_65.wav,long_grammatical
26,HDR_long_grammatical/A3A1A2B2B1B3_147.wav,long_grammatical
27,HDR_long_concatenation/A3A2A1B1B2B3_10.wav,long_concatenation
28,HDR_long_grammatical/A3A2A1B1B2B3_349.wav,long_grammatical
29,HDR_long_concatenation/A1A3A2B2B3B1_23.wav,long_concatenation
30,HDR_long_grammatical/A1A2A3B3B2B1_12.wav,long_grammatical
31,HDR_long_replacement/A1A3A2B2B3B1_23.wav,long_replacement
32,HDR_long_grammatical/A1A2A3B3B2B1_28.wav,long_grammatical
33,HDR_long_grammatical/A1A3A2B2B3B1_260.wav,long_grammatical
34,HDR_long_replacement/A1A3A2B2B3B1_2.wav,long_replacement
35,HDR_long_replacement/A2A1A3B3B1B2_17.wav,long_replacement
36,HDR_long_grammatical/A1A2A3B3B2B1_29.wav,long_grammatical
37,HDR_long_grammatical/A3A2A1B1B2B3_354.wav,long_grammatical
38,HDR_long_grammatical/A2A3A1B1B3B2_94.wav,long_grammatical
39,HDR_long_grammatical/A1A3A2B2B3B1_289.wav,long_grammatical
40,HDR_long_grammatical/A3A2A1B1B2B3_358.wav,long_grammatical
41,HDR_long_grammatical/A2A3A1B1B3B2_90.wav,long_grammatical
42,HDR_long_grammatical/A3A2A1B1B2B3_373.wav,long_grammatical
43,HDR_long_grammatical/A2A3A1B1B3B2_88.wav,long_grammatical
44,HDR_long_grammatical/A1A3A2B2B3B1_306.wav,long_grammatical
45,HDR_long_grammatical/A1A3A2B2B3B1_276.wav,long_grammatical
46,HDR_long_grammatical/A1A3A2B2B3B1_304.wav,long_grammatical
47,HDR_long_grammatical/A2A3A1B1B3B2_124.wav,long_grammatical
48,HDR_long_grammatical/A2A3A1B1B3B2_107.wav,long_grammatical
49,HDR_long_grammatical/A1A3A2B2B3B1_293.wav,long_grammatical
50,HDR_long_grammatical/A2A1A3B3B1B2_248.wav,long_grammatical
51,HDR_long_concatenation/A3A2A1B1B2B3_29.wav,long_concatenation
52,HDR_long_grammatical/A1A2A3B3B2B1_52.wav,long_grammatical
53,HDR_long_grammatical/A1A2A3B3B2B1_6.wav,long_grammatical
54,HDR_long_grammatical/A3A2A1B1B2B3_359.wav,long_grammatical
55,HDR_long_grammatical/A1A2A3B3B2B1_40.wav,long_grammatical
56,HDR_long_grammatical/A3A2A1B1B2B3_364.wav,long_grammatical
57,HDR_long_grammatical/A1A2A3B3B2B1_61.wav,long_grammatical
58,HDR_long_replacement/A2A1A3B3B1B2_37.wav,long_replacement
59,HDR_long_grammatical/A2A3A1B1B3B2_85.wav,long_grammatical
60,HDR_long_grammatical/A1A3A2B2B3B1_294.wav,long_grammatical
