trial_index,audio_filename,condition
1,HDR_long_grammatical/A2A3A1B1B3B2_90.wav,long_grammatical
2,HDR_long_grammatical/A3A2A1B1B2B3_377.wav,long_grammatical
3,HDR_long_grammatical/A1A2A3B3B2B1_34.wav,long_grammatical
4,HDR_long_grammatical/A1A2A3B3B2B1_2.wav,long_grammatical
5,HDR_long_concatenation/A2A3A1B1B3B2_42.wav,long_concatenation
6,HDR_long_grammatical/A1A2A3B3B2B1_12.wav,long_grammatical
7,HDR_long_grammatical/A1A2A3B3B2B1_11.wav,long_grammatical
8,HDR_long_grammatical/A1A2A3B3B2B1_26.wav,long_grammatical
9,HDR_long_grammatical/A2A3A1B1B3B2_105.wav,long_grammatical
10,HDR_long_grammatical/A2A3A1B1B3B2_67.wav,long_grammatical
11,HDR_long_grammatical/A3A2A1B1B2B3_341.wav,long_grammatical
12,HDR_long_grammatical/A3A1A2B2B1B3_136.wav,long_grammatical
13,HDR_long_grammatical/A1A2A3B3B2B1_49.wav,long_grammatical
14,HDR_long_grammatical/A2A1A3B3B1B2_204.wav,long_grammatical
15,HDR_long_grammatical/A2A1A3B3B1B2_229.wav,long_grammatical
16,HDR_long_grammatical/A2A3A1B1B3B2_102.wav,long_grammatical
17,HDR_long_grammatical/A3A1A2B2B1B3_152.wav,long_grammatical
18,HDR_long_grammatical/A1A2A3B3B2B1_25.wav,long_grammatical
19,HDR_long_grammatical/A3A2A1B1B2B3_373.wav,long_grammatical
20,HDR_long_grammatical/A1A2A3B3B2B1_9.wav,long_grammatical
21,HDR_long_grammatical/A1A2A3B3B2B1_44.wav,long_grammatical
22,HDR_long_grammatical/A1A2A3B3B2B1_24.wav,long_grammatical
23,HDR_long_replacement/A2A1A3B3B1B2_17.wav,long_replacement
24,HDR_long_grammatical/A2A3A1B1B3B2_66.wav,long_grammatical
25,HDR_long_grammatical/A1A2A3B3B2B1_42.wav,long_grammatical
26,HDR_long_grammatical/A3A2A1B1B2B3_324.wav,long_grammatical
27,HDR_long_grammatical/A2A3A1B1B3B2_89.wav,long_grammatical
28,HDR_long_concatenation/A2A3A1B1B3B2_31.wav,long_concatenation
29,HDR_long_grammatical/A1A3A2B2B3B1_302.wav,long_grammatical
30,HDR_long_grammatical/A2A3A1B1B3B2_124.wav,long_grammatical
31,HDR_long_replacement/A1A2A3B3B2B1_10.wav,long_replacement
32,HDR_long_grammatical/A1A3A2B2B3B1_279.wav,long_grammatical
33,HDR_long_grammatical/A3A1A2B2B1B3_156.wav,long_grammatical
34,HDR_long_grammatical/A3A1A2B2B1B3_173.wav,long_grammatical
