seqID,syll_1,syll_2,syll_3,syll_4,syll_5,syll_6
seq_0112,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0113,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0114,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0115,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0116,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0117,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0118,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_o_t.mp3
seq_0119,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_e_d.mp3,B2_u_t.mp3
seq_0120,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0121,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0122,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0123,A1_i_b.mp3,B1_o_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0124,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0125,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_o_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0126,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_o_t.mp3
seq_0127,A1_i_b.mp3,B1_u_p.mp3,A3_i_g.mp3,B3_u_k.mp3,A2_i_d.mp3,B2_u_t.mp3
seq_0128,A2_e_d.mp3,B2_o_t.mp3,A1_e_b.mp3,B1_o_p.mp3,A3_e_g.mp3,B3_o_k.mp3
