trial_index,audio_filename,condition
1,ADR_long_replacement/A1B1A3B3A2B2_46.wav,long_replacement
2,ADR_long_grammatical/A1B1A3B3A2B2_96.wav,long_grammatical
3,ADR_long_replacement/A1B1A2B2A3B3_2.wav,long_replacement
4,ADR_long_replacement/A2B2A1B1A3B3_36.wav,long_replacement
5,ADR_long_replacement/A3B3A2B2A1B1_34.wav,long_replacement
6,ADR_long_grammatical/A2B2A3B3A1B1_218.wav,long_grammatical
7,ADR_long_grammatical/A2B2A1B1A3B3_191.wav,long_grammatical
8,ADR_long_replacement/A2B2A1B1A3B3_1.wav,long_replacement
9,ADR_long_grammatical/A2B2A3B3A1B1_204.wav,long_grammatical
10,ADR_long_concatenation/A2B2A3B3A1B1_2.wav,long_concatenation
11,ADR_long_grammatical/A2B2A1B1A3B3_135.wav,long_grammatical
12,ADR_long_replacement/A2B2A3B3A1B1_48.wav,long_replacement
13,ADR_long_grammatical/A2B2A1B1A3B3_146.wav,long_grammatical
14,ADR_long_grammatical/A1B1A3B3A2B2_101.wav,long_grammatical
15,ADR_long_grammatical/A3B3A2B2A1B1_322.wav,long_grammatical
16,ADR_long_grammatical/A2B2A3B3A1B1_207.wav,long_grammatical
17,ADR_long_grammatical/A2B2A1B1A3B3_184.wav,long_grammatical
18,ADR_long_grammatical/A3B3A2B2A1B1_367.wav,long_grammatical
19,ADR_long_grammatical/A2B2A3B3A1B1_196.wav,long_grammatical
20,ADR_long_grammatical/A3B3A2B2A1B1_382.wav,long_grammatical
21,ADR_long_concatenation/A1B1A3B3A2B2_24.wav,long_concatenation
22,ADR_long_grammatical/A2B2A1B1A3B3_166.wav,long_grammatical
23,ADR_long_grammatical/A2B2A3B3A1B1_227.wav,long_grammatical
24,ADR_long_replacement/A3B3A1B1A2B2_4.wav,long_replacement
25,ADR_long_grammatical/A3B3A1B1A2B2_295.wav,long_grammatical
26,ADR_long_grammatical/A3B3A2B2A1B1_344.wav,long_grammatical
27,ADR_long_grammatical/A3B3A1B1A2B2_312.wav,long_grammatical
28,ADR_long_grammatical/A3B3A2B2A1B1_342.wav,long_grammatical
29,ADR_long_grammatical/A2B2A3B3A1B1_215.wav,long_grammatical
30,ADR_long_grammatical/A1B1A2B2A3B3_9.wav,long_grammatical
31,ADR_long_concatenation/A2B2A1B1A3B3_12.wav,long_concatenation
32,ADR_long_grammatical/A1B1A3B3A2B2_84.wav,long_grammatical
33,ADR_long_concatenation/A3B3A2B2A1B1_14.wav,long_concatenation
